id,species_identifier,display_name,hp,attack,defense,speed,special_attack,special_defense,type1,type2,ability1,ability2,mondexentry,sprite
12,SPECIES_BUTTERFREE,Butterfree,60,45,50,70,90,80,TYPE_BUG,TYPE_FLYING,ABILITY_COMPOUND_EYES,ABILITY_NONE,"It collects honey every day. It rubs
honey onto the hairs on its legs
to carry it back to its nest.",https://play.pokemonshowdown.com/sprites/gen5/butterfree.png
13,SPECIES_WEEDLE,Weedle,40,35,30,50,20,20,TYPE_BUG,TYPE_POISON,ABILITY_SHIELD_DUST,ABILITY_NONE,"Its poison stinger is very powerful.
Its bright-colored body is intended
to warn off its enemies.",https://play.pokemonshowdown.com/sprites/gen5/weedle.png
14,SPECIES_KAKUNA,Kakuna,45,25,50,35,25,25,TYPE_BUG,TYPE_POISON,ABILITY_SHED_SKIN,ABILITY_NONE,"Although it is a cocoon, it can
move a little. It can extend its
poison barb if it is attacked.",https://play.pokemonshowdown.com/sprites/gen5/kakuna.png
15,SPECIES_BEEDRILL,Beedrill,65,90,40,75,45,80,TYPE_BUG,TYPE_POISON,ABILITY_SWARM,ABILITY_NONE,"It can take down any opponent with
its powerful poison stingers.
It sometimes attacks in swarms.",https://play.pokemonshowdown.com/sprites/gen5/beedrill.png
16,SPECIES_PIDGEY,Pidgey,40,45,40,56,35,35,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_TANGLED_FEET,"It usually hides in tall grass.
Because it dislikes fighting,
it protects itself by kicking up sand.",https://play.pokemonshowdown.com/sprites/gen5/pidgey.png
17,SPECIES_PIDGEOTTO,Pidgeotto,63,60,55,71,50,50,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_TANGLED_FEET,"It has outstanding vision. However
high it flies, it is able to distinguish
the movements of its prey.",https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png
18,SPECIES_PIDGEOT,Pidgeot,83,80,75,101,70,70,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_TANGLED_FEET,"Its well-developed chest muscles make
it strong enough to whip up a gusty
windstorm with just a few flaps.",https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png
19,SPECIES_RATTATA,Rattata,30,56,35,72,25,35,TYPE_NORMAL,TYPE_NORMAL,ABILITY_RUN_AWAY,ABILITY_GUTS,"It eats anything. Wherever food is
available, it will settle down and
produce offspring continuously.",https://play.pokemonshowdown.com/sprites/gen5/rattata.png
20,SPECIES_RATICATE,Raticate,55,81,60,97,50,70,TYPE_NORMAL,TYPE_NORMAL,ABILITY_RUN_AWAY,ABILITY_GUTS,"Gnaws on anything with its tough
fangs. It can even topple concrete
buildings by gnawing on them.",https://play.pokemonshowdown.com/sprites/gen5/raticate.png
21,SPECIES_SPEAROW,Spearow,40,60,30,70,31,31,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_NONE,"It flaps its short wings to flush out
insects from tall grass. It then
plucks them with its stubby beak.",https://play.pokemonshowdown.com/sprites/gen5/spearow.png
22,SPECIES_FEAROW,Fearow,65,90,65,100,61,61,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_NONE,"It shoots itself suddenly high into
the sky, then plummets down in
one fell swoop to strike its prey.",https://play.pokemonshowdown.com/sprites/gen5/fearow.png
23,SPECIES_EKANS,Ekans,35,60,44,55,40,54,TYPE_POISON,TYPE_POISON,ABILITY_INTIMIDATE,ABILITY_SHED_SKIN,"It can freely detach its jaw to
swallow large prey whole. It can
become too heavy to move, however.",https://play.pokemonshowdown.com/sprites/gen5/ekans.png
24,SPECIES_ARBOK,Arbok,60,95,69,80,65,79,TYPE_POISON,TYPE_POISON,ABILITY_INTIMIDATE,ABILITY_SHED_SKIN,"Transfixing prey with the face-like
pattern on its belly, it binds
and poisons the frightened victim.",https://play.pokemonshowdown.com/sprites/gen5/arbok.png
25,SPECIES_PIKACHU,Pikachu,35,55,40,90,50,50,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_NONE,"This intelligent Pokémon roasts
hard berries with electricity to
make them tender enough to eat.",https://play.pokemonshowdown.com/sprites/gen5/pikachu.png
26,SPECIES_RAICHU,Raichu,60,90,55,110,90,80,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_NONE,"When its electricity builds, its
muscles are stimulated, and it becomes
more aggressive than usual.",https://play.pokemonshowdown.com/sprites/gen5/raichu.png
27,SPECIES_SANDSHREW,Sandshrew,50,75,85,40,20,30,TYPE_GROUND,TYPE_GROUND,ABILITY_SAND_VEIL,ABILITY_NONE,"If it fell from a great height, this
Pokémon could save itself by rolling
into a ball and bouncing.",https://play.pokemonshowdown.com/sprites/gen5/sandshrew.png
28,SPECIES_SANDSLASH,Sandslash,75,100,110,65,45,55,TYPE_GROUND,TYPE_GROUND,ABILITY_SAND_VEIL,ABILITY_NONE,"In an attempt to hide itself,
it will run around at top speed to
kick up a blinding dust storm.",https://play.pokemonshowdown.com/sprites/gen5/sandslash.png
29,SPECIES_NIDORAN_F,Nidoran♀,55,47,52,41,40,40,TYPE_POISON,TYPE_POISON,ABILITY_POISON_POINT,ABILITY_RIVALRY,"The poison hidden in its small horn
is extremely potent. Even a tiny
scratch can have fatal results.",https://play.pokemonshowdown.com/sprites/gen5/nidoranf.png
30,SPECIES_NIDORINA,Nidorina,70,62,67,56,55,55,TYPE_POISON,TYPE_POISON,ABILITY_POISON_POINT,ABILITY_RIVALRY,"When feeding its young, it first
chews the food into a paste, then
spits it out for the offspring.",https://play.pokemonshowdown.com/sprites/gen5/nidorina.png
31,SPECIES_NIDOQUEEN,Nidoqueen,90,92,87,76,75,85,TYPE_POISON,TYPE_GROUND,ABILITY_POISON_POINT,ABILITY_RIVALRY,"Its body is covered with needle-like
scales. It never shows signs
of shrinking from any attack.",https://play.pokemonshowdown.com/sprites/gen5/nidoqueen.png
32,SPECIES_NIDORAN_M,Nidoran♂,46,57,40,50,40,40,TYPE_POISON,TYPE_POISON,ABILITY_POISON_POINT,ABILITY_RIVALRY,"It is small, but its horn is filled
with poison. It charges then stabs
with the horn to inject poison.",https://play.pokemonshowdown.com/sprites/gen5/nidoranm.png
33,SPECIES_NIDORINO,Nidorino,61,72,57,65,55,55,TYPE_POISON,TYPE_POISON,ABILITY_POISON_POINT,ABILITY_RIVALRY,"It raises its big ears to check its
surroundings. If it senses anything,
it attacks immediately.",https://play.pokemonshowdown.com/sprites/gen5/nidorino.png
34,SPECIES_NIDOKING,Nidoking,81,102,77,85,85,75,TYPE_POISON,TYPE_GROUND,ABILITY_POISON_POINT,ABILITY_RIVALRY,"It swings its big tail around during
battle. If its foe flinches, it will
charge with its sturdy body.",https://play.pokemonshowdown.com/sprites/gen5/nidoking.png
35,SPECIES_CLEFAIRY,Clefairy,70,45,48,35,60,65,TYPE_FAIRY,TYPE_FAIRY,ABILITY_CUTE_CHARM,ABILITY_MAGIC_GUARD,"The moonlight that it stores in the
wings on its back apparently gives
it the ability to float in midair.",https://play.pokemonshowdown.com/sprites/gen5/clefairy.png
36,SPECIES_CLEFABLE,Clefable,95,70,73,60,95,90,TYPE_FAIRY,TYPE_FAIRY,ABILITY_CUTE_CHARM,ABILITY_MAGIC_GUARD,"With its acute hearing, it can
pick up sounds from far away.
It usually hides in quiet places.",https://play.pokemonshowdown.com/sprites/gen5/clefable.png
37,SPECIES_VULPIX,Vulpix,38,41,40,65,50,65,TYPE_FIRE,TYPE_FIRE,ABILITY_FLASH_FIRE,ABILITY_NONE,"As it develops, its single white
tail gains color and splits into six.
It is quite warm and cuddly.",https://play.pokemonshowdown.com/sprites/gen5/vulpix.png
38,SPECIES_NINETALES,Ninetales,73,76,75,100,81,100,TYPE_FIRE,TYPE_FIRE,ABILITY_FLASH_FIRE,ABILITY_NONE,"Some legends claim that each of its
nine tails has its own unique type
of special mystical power.",https://play.pokemonshowdown.com/sprites/gen5/ninetales.png
39,SPECIES_JIGGLYPUFF,Jigglypuff,115,45,20,20,45,25,TYPE_NORMAL,TYPE_FAIRY,ABILITY_CUTE_CHARM,ABILITY_COMPETITIVE,"If it inflates to sing a lullaby,
it can perform longer and cause
sure drowsiness in its audience.",https://play.pokemonshowdown.com/sprites/gen5/jigglypuff.png
40,SPECIES_WIGGLYTUFF,Wigglytuff,140,70,45,45,85,50,TYPE_NORMAL,TYPE_FAIRY,ABILITY_CUTE_CHARM,ABILITY_COMPETITIVE,"Their fur feels so good that if two
of them snuggle together,
they won’t want to be separated.",https://play.pokemonshowdown.com/sprites/gen5/wigglytuff.png
41,SPECIES_ZUBAT,Zubat,40,45,35,55,30,40,TYPE_POISON,TYPE_FLYING,ABILITY_INNER_FOCUS,ABILITY_NONE,"While flying, it constantly emits
ultrasonic waves from its mouth to
check its surroundings.",https://play.pokemonshowdown.com/sprites/gen5/zubat.png
42,SPECIES_GOLBAT,Golbat,75,80,70,90,65,75,TYPE_POISON,TYPE_FLYING,ABILITY_INNER_FOCUS,ABILITY_NONE,"However hard its victim’s hide may be,
it punctures with sharp fangs
and gorges itself with blood.",https://play.pokemonshowdown.com/sprites/gen5/golbat.png
43,SPECIES_ODDISH,Oddish,45,50,55,30,75,65,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"Awakened by moonlight, it roams
actively at night. In the day, it stays
quietly underground.",https://play.pokemonshowdown.com/sprites/gen5/oddish.png
44,SPECIES_GLOOM,Gloom,60,65,70,40,85,75,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"What appears to be drool is actually
sweet honey. It is very sticky and
clings stubbornly if touched.",https://play.pokemonshowdown.com/sprites/gen5/gloom.png
45,SPECIES_VILEPLUME,Vileplume,75,80,85,50,110,90,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"It has the world’s largest petals.
With every step, the petals shake
out heavy clouds of toxic pollen.",https://play.pokemonshowdown.com/sprites/gen5/vileplume.png
46,SPECIES_PARAS,Paras,35,70,55,25,45,55,TYPE_BUG,TYPE_GRASS,ABILITY_EFFECT_SPORE,ABILITY_DRY_SKIN,"It is doused with mushroom spores
when it is born. As its body grows,
mushrooms sprout from its back.",https://play.pokemonshowdown.com/sprites/gen5/paras.png
47,SPECIES_PARASECT,Parasect,60,95,80,30,60,80,TYPE_BUG,TYPE_GRASS,ABILITY_EFFECT_SPORE,ABILITY_DRY_SKIN,"It stays mostly in dark, damp places,
the preference not of the bug, but
of the big mushroom on its back.",https://play.pokemonshowdown.com/sprites/gen5/parasect.png
48,SPECIES_VENONAT,Venonat,60,55,50,45,40,55,TYPE_BUG,TYPE_POISON,ABILITY_COMPOUND_EYES,ABILITY_TINTED_LENS,"Its eyes also function as radar
units. It catches and eats small
bugs that hide in darkness.",https://play.pokemonshowdown.com/sprites/gen5/venonat.png
49,SPECIES_VENOMOTH,Venomoth,70,65,60,90,90,75,TYPE_BUG,TYPE_POISON,ABILITY_SHIELD_DUST,ABILITY_TINTED_LENS,"When it attacks, it flaps its large
wings violently to scatter its
poisonous powder all around.",https://play.pokemonshowdown.com/sprites/gen5/venomoth.png
50,SPECIES_DIGLETT,Diglett,10,55,25,95,35,45,TYPE_GROUND,TYPE_GROUND,ABILITY_SAND_VEIL,ABILITY_ARENA_TRAP,"Its skin is very thin. If it is exposed
to light, its blood heats up,
causing it to grow weak.",https://play.pokemonshowdown.com/sprites/gen5/diglett.png
51,SPECIES_DUGTRIO,Dugtrio,35,100,50,120,50,70,TYPE_GROUND,TYPE_GROUND,ABILITY_SAND_VEIL,ABILITY_ARENA_TRAP,"Its three heads bob separately up
and down to loosen the soil nearby,
making it easier for it to burrow.",https://play.pokemonshowdown.com/sprites/gen5/dugtrio.png
52,SPECIES_MEOWTH,Meowth,40,45,35,90,40,40,TYPE_NORMAL,TYPE_NORMAL,ABILITY_PICKUP,ABILITY_TECHNICIAN,"It is fascinated by round objects.
It can’t stop playing with them
until it tires and falls asleep.",https://play.pokemonshowdown.com/sprites/gen5/meowth.png
53,SPECIES_PERSIAN,Persian,65,70,60,115,65,65,TYPE_NORMAL,TYPE_NORMAL,ABILITY_LIMBER,ABILITY_TECHNICIAN,"Many adore it for its sophisticated air.
However, it will lash out and
scratch for little reason.",https://play.pokemonshowdown.com/sprites/gen5/persian.png
54,SPECIES_PSYDUCK,Psyduck,50,52,48,55,65,50,TYPE_WATER,TYPE_WATER,ABILITY_DAMP,ABILITY_CLOUD_NINE,"It has mystical powers but doesn’t
recall that it has used them.
That is why it always looks puzzled.",https://play.pokemonshowdown.com/sprites/gen5/psyduck.png
55,SPECIES_GOLDUCK,Golduck,80,82,78,85,95,80,TYPE_WATER,TYPE_WATER,ABILITY_DAMP,ABILITY_CLOUD_NINE,"When it swims at full speed using
its long, webbed limbs, its forehead
somehow begins to glow.",https://play.pokemonshowdown.com/sprites/gen5/golduck.png
56,SPECIES_MANKEY,Mankey,40,80,35,70,35,45,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_VITAL_SPIRIT,ABILITY_ANGER_POINT,"It is extremely ill-tempered.
Groups of them will attack any
handy target for no reason.",https://play.pokemonshowdown.com/sprites/gen5/mankey.png
57,SPECIES_PRIMEAPE,Primeape,65,105,60,95,60,70,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_VITAL_SPIRIT,ABILITY_ANGER_POINT,"If approached while asleep,
it may awaken and angrily give chase
in a groggy state of semi-sleep.",https://play.pokemonshowdown.com/sprites/gen5/primeape.png
58,SPECIES_GROWLITHE,Growlithe,55,70,45,60,70,50,TYPE_FIRE,TYPE_FIRE,ABILITY_INTIMIDATE,ABILITY_FLASH_FIRE,"It has a brave and trustworthy
nature. It fearlessly stands up
to bigger and stronger foes.",https://play.pokemonshowdown.com/sprites/gen5/growlithe.png
59,SPECIES_ARCANINE,Arcanine,90,110,80,95,100,80,TYPE_FIRE,TYPE_FIRE,ABILITY_INTIMIDATE,ABILITY_FLASH_FIRE,"This legendary Chinese Pokémon is
considered magnificent. Many people
are enchanted by its grand mane.",https://play.pokemonshowdown.com/sprites/gen5/arcanine.png
60,SPECIES_POLIWAG,Poliwag,40,50,40,90,40,40,TYPE_WATER,TYPE_WATER,ABILITY_WATER_ABSORB,ABILITY_DAMP,"Because it is inept at walking on
its newly grown legs, it always 
swims around in water.",https://play.pokemonshowdown.com/sprites/gen5/poliwag.png
61,SPECIES_POLIWHIRL,Poliwhirl,65,65,65,90,50,50,TYPE_WATER,TYPE_WATER,ABILITY_WATER_ABSORB,ABILITY_DAMP,"The swirl on its belly subtly undulates.
Staring at it may gradually
cause drowsiness.",https://play.pokemonshowdown.com/sprites/gen5/poliwhirl.png
62,SPECIES_POLIWRATH,Poliwrath,90,95,95,70,70,90,TYPE_WATER,TYPE_FIGHTING,ABILITY_WATER_ABSORB,ABILITY_DAMP,"This strong and skilled swimmer is
even capable of crossing the
Pacific Ocean just by kicking.",https://play.pokemonshowdown.com/sprites/gen5/poliwrath.png
63,SPECIES_ABRA,Abra,25,20,15,90,105,55,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_SYNCHRONIZE,ABILITY_INNER_FOCUS,"It senses impending attacks and
teleports away to safety before the
actual attacks can strike.",https://play.pokemonshowdown.com/sprites/gen5/abra.png
64,SPECIES_KADABRA,Kadabra,40,35,30,105,120,70,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_SYNCHRONIZE,ABILITY_INNER_FOCUS,"It possesses strong spiritual power.
The more danger it faces,
the stronger its psychic power.",https://play.pokemonshowdown.com/sprites/gen5/kadabra.png
65,SPECIES_ALAKAZAM,Alakazam,55,50,45,120,135,95,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_SYNCHRONIZE,ABILITY_INNER_FOCUS,"Closing both its eyes heightens all
its other senses. This enables it to
use its abilities to their extremes.",https://play.pokemonshowdown.com/sprites/gen5/alakazam.png
66,SPECIES_MACHOP,Machop,70,80,50,35,35,35,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_GUTS,ABILITY_NO_GUARD,"Always brimming with power,
it passes time by lifting boulders.
Doing so makes it even stronger.",https://play.pokemonshowdown.com/sprites/gen5/machop.png
67,SPECIES_MACHOKE,Machoke,80,100,70,45,50,60,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_GUTS,ABILITY_NO_GUARD,"It always goes at its full power,
but this very tough and durable
Pokémon never gets tired.",https://play.pokemonshowdown.com/sprites/gen5/machoke.png
68,SPECIES_MACHAMP,Machamp,90,130,80,55,65,85,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_GUTS,ABILITY_NO_GUARD,"It quickly swings its four arms to
rock its opponents with ceaseless
punches and chops from all angles.",https://play.pokemonshowdown.com/sprites/gen5/machamp.png
69,SPECIES_BELLSPROUT,Bellsprout,50,75,35,40,70,30,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"Even though its body is extremely
skinny, it is blindingly fast
when catching its prey.",https://play.pokemonshowdown.com/sprites/gen5/bellsprout.png
70,SPECIES_WEEPINBELL,Weepinbell,65,90,50,55,85,45,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"Even though it is filled with acid,
it does not melt because it also
oozes a protective fluid.",https://play.pokemonshowdown.com/sprites/gen5/weepinbell.png
71,SPECIES_VICTREEBEL,Victreebel,80,105,65,70,100,70,TYPE_GRASS,TYPE_POISON,ABILITY_CHLOROPHYLL,ABILITY_NONE,"Acid that has dissolved many prey
becomes sweeter, making it even
more effective at attracting prey.",https://play.pokemonshowdown.com/sprites/gen5/victreebel.png
72,SPECIES_TENTACOOL,Tentacool,40,40,35,70,50,100,TYPE_WATER,TYPE_POISON,ABILITY_CLEAR_BODY,ABILITY_LIQUID_OOZE,"When the tide goes out, dehydrated
TENTACOOL remains can be found
washed up on the shore.",https://play.pokemonshowdown.com/sprites/gen5/tentacool.png
73,SPECIES_TENTACRUEL,Tentacruel,80,70,65,100,80,120,TYPE_WATER,TYPE_POISON,ABILITY_CLEAR_BODY,ABILITY_LIQUID_OOZE,"Its 80 tentacles absorb water and
stretch almost endlessly to
constrict its prey and enemies.",https://play.pokemonshowdown.com/sprites/gen5/tentacruel.png
74,SPECIES_GEODUDE,Geodude,40,80,100,20,30,30,TYPE_ROCK,TYPE_GROUND,ABILITY_ROCK_HEAD,ABILITY_STURDY,"Most people may not notice,
but a closer look should reveal that
there are many GEODUDE around.",https://play.pokemonshowdown.com/sprites/gen5/geodude.png
75,SPECIES_GRAVELER,Graveler,55,95,115,35,45,45,TYPE_ROCK,TYPE_GROUND,ABILITY_ROCK_HEAD,ABILITY_STURDY,"With a free and uncaring nature,
it doesn’t mind if pieces break off
while it rolls down mountains.",https://play.pokemonshowdown.com/sprites/gen5/graveler.png
76,SPECIES_GOLEM,Golem,80,120,130,45,55,65,TYPE_ROCK,TYPE_GROUND,ABILITY_ROCK_HEAD,ABILITY_STURDY,"It sheds its skin once a year.
The discarded shell immediately
hardens and crumbles away.",https://play.pokemonshowdown.com/sprites/gen5/golem.png
77,SPECIES_PONYTA,Ponyta,50,85,55,90,65,65,TYPE_FIRE,TYPE_FIRE,ABILITY_RUN_AWAY,ABILITY_FLASH_FIRE,"It is a weak runner immediately
after birth. It gradually becomes
faster by chasing after its parents.",https://play.pokemonshowdown.com/sprites/gen5/ponyta.png
78,SPECIES_RAPIDASH,Rapidash,65,100,70,105,80,80,TYPE_FIRE,TYPE_FIRE,ABILITY_RUN_AWAY,ABILITY_FLASH_FIRE,"At full gallop, its four hooves
barely touch the ground because
it moves so incredibly fast.",https://play.pokemonshowdown.com/sprites/gen5/rapidash.png
79,SPECIES_SLOWPOKE,Slowpoke,90,65,65,15,40,40,TYPE_WATER,TYPE_PSYCHIC,ABILITY_OBLIVIOUS,ABILITY_OWN_TEMPO,"It lazes vacantly near water.
If something bites its tail, it won’t
even notice for a whole day.",https://play.pokemonshowdown.com/sprites/gen5/slowpoke.png
80,SPECIES_SLOWBRO,Slowbro,95,75,110,30,100,80,TYPE_WATER,TYPE_PSYCHIC,ABILITY_OBLIVIOUS,ABILITY_OWN_TEMPO,"If the tail-biting SHELLDER is thrown
off in a harsh battle, it reverts to
being an ordinary SLOWPOKE.",https://play.pokemonshowdown.com/sprites/gen5/slowbro.png
81,SPECIES_MAGNEMITE,Magnemite,25,35,70,45,95,55,TYPE_ELECTRIC,TYPE_STEEL,ABILITY_MAGNET_PULL,ABILITY_STURDY,"It is attracted by electromagnetic
waves. It may approach Trainers
if they are using their Pokégear.",https://play.pokemonshowdown.com/sprites/gen5/magnemite.png
82,SPECIES_MAGNETON,Magneton,50,60,95,70,120,70,TYPE_ELECTRIC,TYPE_STEEL,ABILITY_MAGNET_PULL,ABILITY_STURDY,"Three MAGNEMITE are linked by a
strong magnetic force. Earaches
will occur if you get too close.",https://play.pokemonshowdown.com/sprites/gen5/magneton.png
83,SPECIES_FARFETCHD,Farfetch’d,52,90,55,60,58,62,TYPE_NORMAL,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_INNER_FOCUS,"If anyone tries to disturb where the
essential plant stalks grow, it uses its
own stalk to thwart them.",https://play.pokemonshowdown.com/sprites/gen5/farfetchd.png
84,SPECIES_DODUO,Doduo,35,85,45,75,35,35,TYPE_NORMAL,TYPE_FLYING,ABILITY_RUN_AWAY,ABILITY_EARLY_BIRD,"By alternately raising and lowering
its two heads, it balances itself
to be more stable while running.",https://play.pokemonshowdown.com/sprites/gen5/doduo.png
85,SPECIES_DODRIO,Dodrio,60,110,70,110,60,60,TYPE_NORMAL,TYPE_FLYING,ABILITY_RUN_AWAY,ABILITY_EARLY_BIRD,"It collects data and plans three times
as wisely, but it may think too much
and fall into a state of immobility.",https://play.pokemonshowdown.com/sprites/gen5/dodrio.png
86,SPECIES_SEEL,Seel,65,45,55,45,45,70,TYPE_WATER,TYPE_WATER,ABILITY_THICK_FAT,ABILITY_HYDRATION,"Although it can’t walk well on land,
it is a graceful swimmer. It especially
loves being in frigid seas.",https://play.pokemonshowdown.com/sprites/gen5/seel.png
87,SPECIES_DEWGONG,Dewgong,90,70,80,70,70,95,TYPE_WATER,TYPE_ICE,ABILITY_THICK_FAT,ABILITY_HYDRATION,"Its streamlined body has little
drag in water. The colder the
temperature, the friskier it gets.",https://play.pokemonshowdown.com/sprites/gen5/dewgong.png
88,SPECIES_GRIMER,Grimer,80,80,50,25,40,50,TYPE_POISON,TYPE_POISON,ABILITY_STENCH,ABILITY_STICKY_HOLD,"As it moves, it loses bits of its body,
from which new GRIMER emerge.
This worsens the stench around it.",https://play.pokemonshowdown.com/sprites/gen5/grimer.png
89,SPECIES_MUK,Muk,105,105,75,50,65,100,TYPE_POISON,TYPE_POISON,ABILITY_STENCH,ABILITY_STICKY_HOLD,"They love to gather in smelly areas
where sludge accumulates, making
the stench around them worse.",https://play.pokemonshowdown.com/sprites/gen5/muk.png
90,SPECIES_SHELLDER,Shellder,30,65,100,40,45,25,TYPE_WATER,TYPE_WATER,ABILITY_SHELL_ARMOR,ABILITY_SKILL_LINK,"It swims facing backward by opening
and closing its two-piece shell.
It is surprisingly fast.",https://play.pokemonshowdown.com/sprites/gen5/shellder.png
91,SPECIES_CLOYSTER,Cloyster,50,95,180,70,85,45,TYPE_WATER,TYPE_ICE,ABILITY_SHELL_ARMOR,ABILITY_SKILL_LINK,"Once it slams its shell shut,
it is impossible to open, even by
those with superior strength.",https://play.pokemonshowdown.com/sprites/gen5/cloyster.png
92,SPECIES_GASTLY,Gastly,30,35,30,80,100,35,TYPE_GHOST,TYPE_POISON,ABILITY_LEVITATE,ABILITY_NONE,"With its gas-like body, it can sneak
into any place it desires. However,
it can be blown away by wind.",https://play.pokemonshowdown.com/sprites/gen5/gastly.png
93,SPECIES_HAUNTER,Haunter,45,50,45,95,115,55,TYPE_GHOST,TYPE_POISON,ABILITY_LEVITATE,ABILITY_NONE,"In total darkness, where nothing is
visible, HAUNTER lurks, silently
stalking its next victim.",https://play.pokemonshowdown.com/sprites/gen5/haunter.png
94,SPECIES_GENGAR,Gengar,60,65,60,110,130,75,TYPE_GHOST,TYPE_POISON,ABILITY_CURSED_BODY,ABILITY_NONE,"It steals heat from its surroundings.
If you feel a sudden chill,
it is certain that a GENGAR appeared.",https://play.pokemonshowdown.com/sprites/gen5/gengar.png
